Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",86.77,$8.34B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",5.63,$464.19M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.515,$33.64M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",27.3236,$19.13M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,2.2,$68.47M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",16.56,$1.06B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",11.2838,$55.03M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",20.69,$2.53B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),20.86,$212.6M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,48.08,$1.23B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",13.47,$1.51B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",24.98,$1.59B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",8.87,$1.34B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,6.075,$227.78M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
JOBS,"51job, Inc.",79.6,$5.28B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",31.05,$428.15M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
JFK,8i Enterprises Acquisition Corp,10.1,$75.02M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.423,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,10.965,$54.83M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
JFKKW,8i Enterprises Acquisition Corp,0.55,$3.16M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw
EGHT,8x8 Inc,20.64,$2.11B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
JFU,9F Inc.,9.36,$1.81B,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",56.36,$2.94B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABEO,Abeona Therapeutics Inc.,3.09,$258.13M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABMD,"ABIOMED, Inc.",164.8,$7.43B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,0.236,$39.74M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ACIU,AC Immune SA,8.45,$605.55M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",68.72,$2.84B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,2.43,$122.44M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",33.77,$2.99B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,46.87,$7.22B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,10.1,$385.79M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.4,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.85,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",0.579,$52.01M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",16.59,$906.56M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,94.11,$5B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ARAY,Accuray Incorporated,3.62,$327.49M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",1.67,$132.89M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,4.67,$47.14M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",0.5199,$13.02M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACIW,"ACI Worldwide, Inc.",35.67,$4.12B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",1.38,$57.12M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",38.7,$704.2M,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,35.44,$307.43M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",1.92,$92.22M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ACTT,Act II Global Acquisition Corp.,10.35,$388.13M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/actt
ACTTU,Act II Global Acquisition Corp.,11.05,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acttu
ACTTW,Act II Global Acquisition Corp.,1.5827,$34.42M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/acttw
ATVI,"Activision Blizzard, Inc",62.59,$48.09B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi
ADMS,"Adamas Pharmaceuticals, Inc.",5.75,$160.18M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,0.6689,$41.23M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
AHCO,AdaptHealth Corp. ,16,$1.16B,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
ADAP,Adaptimmune Therapeutics plc,3.97,$514.14M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
ADPT,Adaptive Biotechnologies Corporation,31.71,$3.97B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt
ADXN,Addex Therapeutics Ltd,11.3,n/a,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn
ADUS,Addus HomeCare Corporation,102.77,$1.6B,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",3.21,$33.26M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,7.63,$230.89M,2015,Technology,Semiconductors,https://old.nasdaq.com/symbol/iots
ADIL,"Adial Pharmaceuticals, Inc",1.68,$17.33M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.135,n/a,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw
ADMA,ADMA Biologics Inc,3.51,$208.21M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,374.84,$182.82B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",9.055,$433.07M,1994,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",3.22,$259.26M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro
ADES,"Advanced Emissions Solutions, Inc.",11.97,$222.51M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",77.94,$2.99B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",54.53,$63.78B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",1.04,$62.63M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs
ADVM,"Adverum Biotechnologies, Inc.",15.27,$986.26M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,27.11,$34.57M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dweq
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,27.0758,$30.46M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwaw
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,27.1625,$30.56M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwus
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,24.165,$2.42M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwmc
DWSH,AdvisorShares Dorsey Wright Short ETF,23.75,$58.19M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwsh
ACT,AdvisorShares Vice ETF,25.801,$12.26M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/act
AEGN,Aegion Corp,23.18,$713M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",8.36,$242.32M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,2.4321,$55.73M,1997,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.82,$16.87M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",19.66,$910.68M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",69.97,$1.68B,2007,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav
ARPO,"Aerpio Pharmaceuticals, Inc.",0.65,$26.38M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/arpo
AIH,Aesthetic Medical International Holdings Group Ltd.,8.07,$190.56M,2019,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aih
AEZS,AEterna Zentaris Inc.,1.17,$23.44M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",2.58,$23.88M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/aemd
AFMD,Affimed N.V.,2.57,$195.91M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd
AFYA,Afya Limited,27.58,$2.48B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya
AGBA,AGBA Acquisition Limited,10.13,$60.53M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agba
AGBAR,AGBA Acquisition Limited,0.19,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbar
AGBAU,AGBA Acquisition Limited,10.25,$61.24M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbau
AGBAW,AGBA Acquisition Limited,0.0701,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw
AGEN,Agenus Inc.,3.66,$502.74M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",4.13,$288.27M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",36.85,$871.76M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",52.01,$3.56B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,15.2,$324M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,19.12,$10.34B,2008,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc
AGNCM,AGNC Investment Corp.,26.09,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,26.35,"$342,550 ",n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn
AGNCO,AGNC Investment Corp.,26.04,$244.78M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco
AGNCP,AGNC Investment Corp.,24.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agncp
AGFS,"AgroFresh Solutions, Inc.",2.2,$112.11M,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.0042,n/a,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",0.71,$19.75M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",28.3,$1.84B,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",19.56,$59.15M,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airt
AIRTP,"Air T, Inc.",24.8,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtp
AIRTW,"Air T, Inc.",0.07,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtw
ATSG,"Air Transport Services Group, Inc",21.43,$1.27B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",8.78,$85.14M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/airg
ANTE,AirNet Technology Inc.,1.01,$12.69M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/ante
AKAM,"Akamai Technologies, Inc.",99.6,$16.1B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,1.86,$39.08M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aktx
SONG,Akazoo S.A.,4.52,$224.35M,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/song
SONGW,Akazoo S.A.,0.355,$2.2M,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/songw
AKCA,"Akcea Therapeutics, Inc.",17.42,$1.76B,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",9,$1.07B,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akba
KERN,Akerna Corp.,7.06,$91.14M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kern
KERNW,Akerna Corp.,0.69,n/a,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kernw
AKRO,"Akero Therapeutics, Inc.",25.33,$723.39M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akro
AKER,Akers Biosciences Inc.,3.18,$5.53M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",1.3,$163.99M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",7.62,$275.94M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",47.5,$2.31B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",2.1,$111.32M,1999,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/alsk
ALAC,Alberton Acquisition Corporation,10.46,$153.65M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alac
ALACR,Alberton Acquisition Corporation,0.2,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,10.65,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.055,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacw
ALBO,"Albireo Pharma, Inc.",24.69,$367.32M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/albo
ALDX,"Aldeyra Therapeutics, Inc.",5.17,$144.52M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aldx
ALEC,"Alector, Inc.",29.52,$2.32B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alec
ALRS,Alerus Financial Corporation,21.68,$369.63M,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/alrs
ALXN,"Alexion Pharmaceuticals, Inc.",103.42,$22.9B,1996,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",37.4,$279.74M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",272.97,$21.51B,2001,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",6.55,$32.51M,2010,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alim
ALYA,Alithya Group inc.,2.96,$150.61M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/alya
ALJJ,"ALJ Regional Holdings, Inc.",1.15,$48.5M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,17.65,$2.78B,1991,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alks
ALLK,Allakos Inc.,69.9,$3.4B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/allk
ABTX,"Allegiance Bancshares, Inc.",38.49,$790.37M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,167.1,$2.72B,2006,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/algt
ALGR,Allegro Merger Corp.,10.2799,$157.05M,2018,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/algr
ALGRR,Allegro Merger Corp.,0.39,n/a,2018,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/algrr
ALGRU,Allegro Merger Corp.,10.57,n/a,2018,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/algru
ALGRW,Allegro Merger Corp.,0.22,n/a,2018,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/algrw
ALNA,"Allena Pharmaceuticals, Inc.",2.24,$52.56M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alna
ARLP,"Alliance Resource Partners, L.P.",7.87,$998.83M,1999,Energy,Coal Mining,https://old.nasdaq.com/symbol/arlp
LNT,Alliant Energy Corporation,59.38,$14.27B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/lnt
AESE,"Allied Esports Entertainment, Inc.",2.65,$63.43M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese
AHPI,"Allied Healthcare Products, Inc.",2.26,$9.07M,1992,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",46.78,$449.08M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/amot
ALLO,"Allogene Therapeutics, Inc.",23.38,$2.85B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/allo
ALLT,Allot Ltd.,12.31,$422.87M,2006,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",9.06,$1.47B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/mdrx
ALNY,"Alnylam Pharmaceuticals, Inc.",130.1,$14.6B,2004,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,11.07,$274.34M,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,1514.66,$1041B,2004,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1513.39,$1040.13B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,24.775,$22.3M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",6.4,$392.71M,2006,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",2.96,$55.02M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alpn
ALTR,Altair Engineering Inc.,38.87,$2.79B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/altr
ATHE,Alterity Therapeutics Limited,0.73,$10.62M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/athe
ALT,"Altimmune, Inc.",1.71,$26.23M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,19.62,$307.81M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,37.4,$2.41B,2006,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aimc
ALTM,Altus Midstream Company,2.05,$666.11M,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/altm
AMAG,"AMAG Pharmaceuticals, Inc.",8.88,$301.17M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amag
AMAL,Amalgamated Bank,18.75,$590.91M,2018,Consumer Non-Durables,Textiles,https://old.nasdaq.com/symbol/amal
AMRN,Amarin Corporation plc,17.69,$6.35B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",8.7,$61.17M,n/a,Basic Industries,Other Specialty Stores,https://old.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",2149.87,$1070.23B,1997,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",22.05,$1B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc
AMBA,"Ambarella, Inc.",70.85,$2.38B,2012,Technology,Semiconductors,https://old.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,38.04,$2.11B,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/amcx
AMCI,AMCI Acquisition Corp.,10.19,$280.89M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amci
AMCIU,AMCI Acquisition Corp.,10.62,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amciu
AMCIW,AMCI Acquisition Corp.,0.42,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amciw
DOX,Amdocs Limited,73.36,$9.89B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dox
AMED,Amedisys Inc,201.01,$6.48B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/amed
AMTB,Amerant Bancorp Inc.,19.49,$840.92M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amtb
AMTBB,Amerant Bancorp Inc.,14.31,$617.42M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amtbb
UHAL,Amerco,346.92,$6.8B,n/a,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",1.33,$4.15M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.047,n/a,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",7.86,$478.16M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",17.8,$58.74B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",30.09,$12.88B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal
AFIN,"American Finance Trust, Inc.",13.46,$1.44B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afin
AFINP,"American Finance Trust, Inc.",25.87,$31.04M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afinp
AMNB,"American National Bankshares, Inc.",36.69,$406.21M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,109.73,$2.95B,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,10.26,$564.93M,n/a,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",24.99,$384.8M,2007,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/apei
AREC,American Resources Corporation,0.506,$13.83M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/arec
AMRB,American River Bankshares,14.66,$86.5M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",15.18,$485.05M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,7.96,$179.55M,1991,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,114.87,$1.94B,1986,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",120.86,$798.26M,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,41.44,$2.88B,1994,Finance,Major Banks,https://old.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",69.43,$1.34B,2005,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/amsf
